epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.9022931456565857,0.188603475689888,0.001,0.9516153335571289,0.11886195093393326
1,0.9480862617492676,0.0920676663517952,0.001,0.9451963305473328,0.12890426814556122
2,0.9728440642356873,0.052406784147024155,0.001,0.9586239457130432,0.10346950590610504
3,0.9831172227859497,0.03301651403307915,0.001,0.9763740301132202,0.05183703452348709
4,0.9851647615432739,0.029813775792717934,0.001,0.9329727292060852,0.2409270852804184
5,0.9816370010375977,0.035463154315948486,0.001,0.9830188751220703,0.0337580144405365
6,0.9884966611862183,0.021641593426465988,0.001,0.9871934652328491,0.023720374330878258
7,0.9894301891326904,0.01961064711213112,0.001,0.9894952178001404,0.020720312371850014
8,0.989920437335968,0.01856119930744171,0.001,0.9782044887542725,0.046789076179265976
9,0.987051784992218,0.025329401716589928,0.001,0.9912680983543396,0.019962580874562263
10,0.9907189011573792,0.016812389716506004,0.001,0.9900253415107727,0.019237617030739784
11,0.9896403551101685,0.019521452486515045,0.001,0.9874331951141357,0.024290790781378746
